CustomerKey,FirstName,LastName,Gender,Occupation,YearlyIncome,MaritalStatus,GeographyKey
11000,Jon,Yang,M,Professional,90000,M,26
11001,Eugene,Huang,M,Professional,60000,S,37
11002,Ruben,Torres,M,Professional,60000,M,31
11003,Christy,Zhu,F,Professional,70000,S,11
11004,Elizabeth,Johnson,F,Professional,80000,S,19
11005,Julio,Ruiz,M,Professional,70000,S,22
11006,Janet,Alvarez,F,Professional,70000,S,8
11007,Marco,Mehta,M,Professional,60000,M,40
11008,Rob,Verhoff,F,Professional,60000,S,32
11009,Shannon,Carlson,M,Professional,70000,S,25
11010,Jacquelyn,Suarez,F,Professional,70000,S,22
11011,Curtis,Lu,M,Professional,60000,M,22
11012,Lauren,Walker,F,Management,100000,M,611
11013,Ian,Jenkins,M,Management,100000,M,543
11014,Sydney,Bennett,F,Management,100000,S,634
11015,Chloe,Young,F,Skilled Manual,30000,S,301
11016,Wyatt,Hill,M,Skilled Manual,30000,M,329
11017,Shannon,Wang,F,Skilled Manual,20000,S,39
11018,Clarence,Rai,M,Clerical,30000,S,32
11019,Luke,Lal,M,Skilled Manual,40000,S,52
11020,Jordan,King,M,Skilled Manual,40000,S,53
11021,Destiny,Wilson,F,Skilled Manual,40000,S,536
11022,Ethan,Zhang,M,Skilled Manual,40000,M,609
11023,Seth,Edwards,M,Skilled Manual,40000,M,298
11024,Russell,Xie,M,Skilled Manual,60000,M,311
11025,Alejandro,Beck,M,Clerical,10000,M,24
11026,Harold,Sai,M,Clerical,30000,S,4
11027,Jessie,Zhao,M,Clerical,30000,M,40
11028,Jill,Jimenez,F,Clerical,30000,M,17
11029,Jimmy,Moreno,M,Clerical,30000,M,32
11030,Bethany,Yuan,F,Clerical,10000,M,28
11031,Theresa,Ramos,F,Skilled Manual,20000,M,8
11032,Denise,Stone,F,Skilled Manual,20000,M,35
11033,Jaime,Nath,M,Skilled Manual,20000,M,9
11034,Ebony,Gonzalez,F,Skilled Manual,20000,M,12
11035,Wendy,Dominguez,F,Clerical,10000,M,33
11036,Jennifer,Russell,F,Skilled Manual,60000,M,343
11037,Chloe,Garcia,F,Clerical,40000,S,49
11038,Diana,Hernandez,F,Clerical,10000,M,6
11039,Marc,Martin,M,Clerical,30000,M,19
11040,Jesse,Murphy,M,Skilled Manual,30000,M,642
11041,Amanda,Carter,F,Skilled Manual,60000,M,325
11042,Megan,Sanchez,F,Skilled Manual,70000,M,338
11043,Nathan,Simmons,M,Skilled Manual,60000,M,325
11044,Adam,Flores,M,Clerical,20000,M,25
11045,Leonard,Nara,M,Skilled Manual,30000,S,8
11046,Christine,Yuan,F,Skilled Manual,30000,M,6
11047,Jaclyn,Lu,F,Skilled Manual,30000,M,34
11048,Jeremy,Powell,M,Skilled Manual,30000,M,39
11049,Carol,Rai,F,Clerical,40000,S,307
11050,Alan,Zheng,M,Skilled Manual,30000,M,31
11051,Daniel,Johnson,M,Skilled Manual,30000,S,21
11052,Heidi,Lopez,F,Clerical,40000,S,8
11053,Ana,Price,F,Skilled Manual,60000,M,359
11054,Deanna,Munoz,F,Skilled Manual,40000,M,34
11055,Gilbert,Raje,M,Skilled Manual,40000,M,22
11056,Michele,Nath,F,Skilled Manual,40000,M,10
11057,Carl,Andersen,M,Management,70000,M,5
11058,Marc,Diaz,M,Skilled Manual,80000,M,29
11059,Ashlee,Andersen,F,Skilled Manual,80000,S,27
11060,Jon,Zhou,M,Skilled Manual,80000,M,40
11061,Todd,Gao,M,Skilled Manual,80000,M,23
11062,Noah,Powell,M,Skilled Manual,40000,M,547
11063,Angela,Murphy,F,Skilled Manual,40000,S,634
11064,Chase,Reed,M,Skilled Manual,40000,M,315
11065,Jessica,Henderson,F,Skilled Manual,60000,M,331
11066,Grace,Butler,F,Professional,70000,M,543
11067,Caleb,Carter,M,Professional,60000,S,632
11068,Tiffany,Liang,F,Skilled Manual,80000,S,40
11069,Carolyn,Navarro,F,Skilled Manual,80000,S,23
11070,Willie,Raji,M,Skilled Manual,80000,M,39
11071,Linda,Serrano,F,Skilled Manual,80000,S,24
11072,Casey,Luo,F,Skilled Manual,80000,S,17
11073,Amy,Ye,F,Skilled Manual,70000,S,16
11074,Levi,Arun,M,Skilled Manual,70000,S,28
11075,Felicia,Jimenez,F,Professional,80000,S,32
11076,Blake,Anderson,M,Professional,80000,S,19
11077,Leah,Ye,F,Professional,80000,S,36
11078,Gina,Martin,F,Professional,40000,S,49
11079,Donald,Gonzalez,M,Management,160000,S,34
11080,Damien,Chander,M,Management,170000,M,30
11081,Savannah,Baker,F,Management,120000,M,311
11082,Angela,Butler,F,Management,130000,S,322
11083,Alyssa,Cox,F,Management,130000,M,336
11084,Lucas,Phillips,M,Skilled Manual,80000,S,543
11085,Emily,Johnson,F,Professional,60000,S,345
11086,Ryan,Brown,M,Professional,70000,M,369
11087,Tamara,Liang,F,Professional,70000,M,307
11088,Hunter,Davis,M,Management,80000,M,359
11089,Abigail,Price,F,Management,80000,S,337
11090,Trevor,Bryant,M,Professional,90000,S,338
11091,Dalton,Perez,M,Professional,90000,M,50
11092,Cheryl,Diaz,F,Professional,90000,M,22
11093,Aimee,He,F,Management,100000,M,19
11094,Cedric,Ma,M,Skilled Manual,70000,S,33
11095,Chad,Kumar,M,Skilled Manual,70000,S,13
11096,Andrés,Anand,M,Professional,60000,M,12
11097,Edwin,Nara,M,Skilled Manual,60000,M,40
11098,Mallory,Rubio,F,Skilled Manual,60000,S,14
11099,Adam,Ross,M,Professional,60000,M,13
11100,Latasha,Navarro,F,Skilled Manual,60000,S,28
11101,Abby,Sai,F,Professional,70000,S,33
11102,Julia,Nelson,F,Professional,80000,S,18
11103,Cassie,Chande,F,Professional,70000,S,3
11104,Edgar,Sara,M,Professional,70000,M,23
11105,Candace,Fernandez,F,Professional,70000,S,8
11106,Jessie,Liu,M,Professional,70000,S,40
11107,Bianca,Lin,F,Professional,90000,M,17
11108,Kari,Alvarez,F,Professional,70000,S,13
11109,Ruben,Kapoor,M,Professional,70000,S,38
11110,Curtis,Yang,M,Skilled Manual,60000,M,3
11111,Meredith,Gutierrez,F,Skilled Manual,60000,M,34
11112,Crystal,Wang,F,Skilled Manual,60000,M,25
11113,Micheal,Blanco,M,Professional,70000,M,30
11114,Leslie,Moreno,F,Skilled Manual,70000,S,14
11115,Alvin,Cai,M,Skilled Manual,70000,M,17
11116,Clinton,Carlson,M,Skilled Manual,70000,M,18
11117,April,Deng,F,Skilled Manual,70000,M,8
11118,Alvin,Zeng,M,Skilled Manual,80000,S,6
11119,Evan,James,M,Clerical,30000,S,13
11120,Beth,Jiménez,F,Management,40000,S,18
11121,Orlando,Suarez,M,Skilled Manual,70000,M,10
11122,Byron,Vazquez,M,Skilled Manual,70000,M,12
11123,Philip,Alvarez,M,Skilled Manual,70000,M,39
11124,Ross,Jordan,M,Skilled Manual,80000,S,40
11125,Dana,Navarro,F,Skilled Manual,70000,S,37
11126,Shaun,Carson,M,Skilled Manual,10000,M,11
11127,Jan,Edwards,F,Skilled Manual,40000,M,361
11128,Samantha,Long,F,Skilled Manual,40000,M,635
11129,Julia,Wright,F,Skilled Manual,40000,S,638
11130,Caroline,Russell,F,Skilled Manual,30000,M,543
11131,Amanda,Rivera,F,Skilled Manual,30000,M,50
11132,Melissa,Richardson,F,Skilled Manual,30000,S,51
11133,Angela,Griffin,F,Clerical,30000,S,542
11134,Larry,Townsend,M,Skilled Manual,10000,S,30
11135,Marcus,Harris,M,Clerical,30000,S,302
11136,Brianna,Morgan,F,Skilled Manual,40000,S,53
11137,Jasmine,Taylor,F,Skilled Manual,40000,M,641
11138,Lauren,Davis,F,Skilled Manual,40000,M,325
11139,Tanya,Moreno,F,Clerical,30000,S,28
11140,Javier,Alvarez,M,Clerical,30000,S,301
11141,Nicole,Ramirez,F,Skilled Manual,40000,M,314
11142,Eduardo,Patterson,M,Skilled Manual,40000,S,51
11143,Jonathan,Henderson,M,Skilled Manual,40000,M,334
11144,Edward,Hernandez,M,Skilled Manual,40000,S,607
11145,Jasmine,Coleman,F,Skilled Manual,40000,S,536
11146,Karla,Goel,F,Management,40000,S,8
11147,Ernest,Wu,M,Management,60000,M,40
11148,Ross,Vazquez,M,Management,40000,M,22
11149,Theodore,Gill,M,Management,40000,M,25
11150,Russell,Shen,M,Management,40000,S,39
11151,Melinda,Gill,F,Management,60000,S,18
11152,James,Williams,M,Skilled Manual,40000,S,633
11153,Angela,James,F,Skilled Manual,40000,M,635
11154,Megan,Walker,F,Skilled Manual,40000,S,553
11155,Hunter,Robinson,M,Skilled Manual,40000,S,301
11156,Maria,Roberts,F,Skilled Manual,40000,S,334
11157,Hannah,Long,F,Skilled Manual,40000,M,642
11158,Jason,Wright,M,Skilled Manual,40000,S,361
11159,Brianna,Hughes,F,Skilled Manual,40000,S,385
11160,Maurice,Tang,M,Skilled Manual,40000,S,311
11161,Emily,Wood,F,Skilled Manual,40000,S,311
11162,Chase,Cox,M,Skilled Manual,40000,S,331
11163,Gabriel,Wang,M,Skilled Manual,40000,M,372
11164,Devin,Brooks,M,Skilled Manual,40000,S,374
11165,Jocelyn,Alexander,F,Skilled Manual,60000,M,348
11166,Ashley,Martinez,F,Skilled Manual,70000,S,631
11167,Jasmine,Barnes,F,Management,80000,S,618
11168,David,Rodriguez,M,Management,80000,S,348
11169,Bryce,Richardson,M,Management,90000,M,312
11170,Carol,Howard,F,Management,90000,M,612
11171,Jonathan,Hill,M,Management,100000,S,385
11172,Gabrielle,Adams,F,Management,100000,M,626
11173,Sarah,Thomas,F,Management,110000,S,552
11174,Nicholas,Robinson,M,Management,110000,M,338
11175,Luis,Wang,M,Skilled Manual,70000,S,300
11176,Mason,Roberts,M,Management,90000,M,50
11177,Jose,Flores,M,Management,110000,M,359
11178,Nathan,Johnson,M,Management,100000,M,334
11179,Molly,Rodriguez,F,Management,120000,M,300
11180,April,Anand,F,Management,160000,M,307
11181,Devin,Martin,M,Management,170000,M,338
11182,Stephanie,Torres,F,Management,70000,S,638
11183,Jasmine,Lee,F,Management,70000,S,368
11184,Meghan,Hernandez,F,Management,70000,S,311
11185,Ashley,Henderson,F,Management,70000,S,53
11186,Sarah,Price,F,Management,70000,S,352
11187,Jennifer,Cooper,F,Management,60000,M,612
11188,Catherine,Morris,F,Management,60000,M,361
11189,Lawrence,Blanco,M,Management,60000,S,609
11190,Carson,Bryant,M,Management,70000,M,300
11191,Kristi,Perez,F,Management,70000,S,310
11192,James,Brown,M,Management,60000,M,637
11193,Ian,Gray,M,Management,60000,M,553
11194,Jacqueline,Price,F,Management,60000,M,352
11195,Megan,Henderson,F,Management,60000,M,635
11196,Alfredo,Romero,M,Management,60000,M,536
11197,Andrea,Morris,F,Management,70000,M,637
11198,Brooke,Sanders,F,Management,70000,S,368
11199,Jacqueline,Bennett,F,Management,70000,M,302
11200,Jason,Griffin,M,Management,70000,M,69
11201,Amanda,Foster,F,Management,70000,M,369
11202,Alexia,Price,F,Management,80000,M,334
11203,Luis,Diaz,M,Professional,40000,M,60
11204,Destiny,Rivera,F,Professional,40000,M,536
11205,Abby,Fernandez,F,Professional,40000,M,612
11206,Blake,Flores,M,Professional,60000,M,626
11207,Danielle,Cox,F,Professional,60000,S,635
11208,Maria,Reed,F,Management,60000,M,325
11209,Allison,Evans,F,Management,60000,M,336
11210,Edward,Wood,M,Professional,70000,M,383
11211,Samantha,Russell,F,Professional,40000,M,50
11212,Chloe,Campbell,F,Professional,40000,M,53
11213,Stephanie,Murphy,F,Professional,60000,S,614
11214,Charles,Miller,M,Professional,60000,S,545
11215,Ana,Perry,F,Skilled Manual,40000,M,62
11216,Jasmine,Torres,F,Professional,60000,S,547
11217,Natalie,Adams,F,Professional,60000,S,547
11218,Olivia,Brown,F,Professional,60000,S,642
11219,Charles,Cook,M,Professional,60000,M,553
11220,Erica,Huang,F,Professional,60000,M,310
11221,Nathan,Perry,M,Professional,70000,M,334
11222,Alexandra,Rivera,F,Management,80000,M,369
11223,Hailey,Patterson,F,Professional,70000,S,52
11224,Tiffany,Li,F,Professional,70000,S,612
11225,Madison,Lee,F,Professional,60000,M,635
11226,Sydney,Ross,F,Professional,60000,M,552
11227,Marshall,Chavez,M,Professional,60000,S,310
11228,Ashley,Jones,F,Professional,60000,M,316
11229,Adrian,Stewart,M,Professional,70000,S,355
11230,Amber,Turner,F,Professional,70000,M,369
11231,Dennis,Zhang,M,Professional,60000,M,611
11232,Hailey,Bryant,F,Professional,60000,M,616
11233,Todd,Li,M,Professional,70000,M,299
11234,Anna,Griffin,F,Professional,70000,S,337
11235,Angel,Stewart,M,Professional,70000,M,607
11236,Jeremy,Butler,M,Professional,70000,S,609
11237,Clarence,Anand,M,Management,130000,S,161
11238,Mayra,Prasad,F,Management,130000,S,232
11239,Latoya,Goel,F,Professional,130000,M,249
11240,Anne,Hernandez,F,Professional,160000,M,273
11241,Lisa,Cai,F,Professional,100000,S,211
11242,Larry,Munoz,M,Professional,110000,M,209
11243,Robin,Alvarez,F,Professional,150000,M,237
11244,Alexis,Coleman,F,Management,170000,S,267
11245,Ricky,Vazquez,M,Professional,120000,M,132
11246,Latasha,Rubio,F,Professional,120000,M,147
11247,Claudia,Zhou,F,Professional,130000,S,242
11248,Tristan,Alexander,M,Professional,110000,M,223
11249,Cindy,Patel,F,Professional,130000,M,178
11250,Shannon,Liu,F,Professional,170000,M,276
11251,Xavier,Long,M,Professional,30000,S,50
11252,Nicholas,Thompson,M,Management,90000,S,335
11253,José,Hernandez,M,Management,60000,M,69
11254,Johnathan,Vance,M,Management,70000,M,612
11255,Colin,Lin,M,Management,70000,M,612
11256,Katelyn,Hernandez,F,Management,70000,M,626
